ico,nazov,typ
00309630,Košarovce,matričný úrad
00310573,Košarovce,matričný úrad
00307149,Košarovce,matričný úrad
00330604,Košarovce,matričný úrad
00311715,Košarovce,matričný úrad
00312681,Košarovce,matričný úrad
00318876,Košarovce,matričný úrad
00306053,Košarovce,matričný úrad
00315338,Košarovce,matričný úrad
00306070,Košarovce,matričný úrad
00306061,Košarovce,matričný úrad
00324388,Košarovce,matričný úrad
00305529,Košarovce,matričný úrad
00331619,Košarovce,matričný úrad
00314072,Košarovce,matričný úrad
00328421,Košarovce,matričný úrad
00323187,Košarovce,matričný úrad
00325376,Košarovce,matričný úrad
00320781,Košarovce,matričný úrad
00320048,Košarovce,matričný úrad
00682187,Košarovce,matričný úrad
00329282,Košarovce,matričný úrad
00316750,Košarovce,matričný úrad
00320056,Košarovce,matričný úrad
00314595,Košarovce,matričný úrad
00322211,Košarovce,matričný úrad
00330655,Košarovce,matričný úrad
00304875,Košarovce,matričný úrad
00322245,Košarovce,matričný úrad
00309672,Košarovce,matričný úrad
00331643,Košarovce,matričný úrad
00324400,Košarovce,matričný úrad
00314099,Košarovce,matričný úrad
00314081,Košarovce,matričný úrad
00304883,Košarovce,matričný úrad
00317438,Košarovce,matričný úrad
00330671,Košarovce,matričný úrad
00309681,Lakšárska Nová Ves,matričný úrad
00316148,Látky,matričný úrad
00317446,Lazy pod Makytou,matričný úrad
00317454,Lednica,matričný úrad
00317462,Lednické Rovne,matričný úrad
00305553,Lehnice,matričný úrad
00308153,Lehota,matričný úrad
00318256,Lehota pod Vtáčnikom,matričný úrad
00331686,Leles,matričný úrad
00327344,Lemešany,matričný úrad
00326321,Lendak,matričný úrad
00312703,Leopoldov,matričný úrad
22222222,Lešť,matričný úrad
00329304,Letanovce,matričný úrad
00307203,Levice,matričný úrad
00329321,Levoča,matričný úrad
00314617,Liesek,matričný úrad
00321427,Lietava,matričný úrad
00315362,Likavka,matričný úrad
00327379,Lipany,matričný úrad
00316776,Lipovec,matričný úrad
00315389,Liptovská Kokava,matričný úrad
00315397,Liptovská Lúžna,matričný úrad
00315401,Liptovská Osada,matričný úrad
00315419,Liptovská Sielnica,matričný úrad
00315435,Liptovská Teplá,matričný úrad
00326330,Liptovská Teplička,matričný úrad
00315478,Liptovské Revúce,matričný úrad
00315745,Liptovské Sliače,matričný úrad
00315494,Liptovský Hrádok,matričný úrad
00315486,Liptovský Ján,matričný úrad
00315524,Liptovský Mikuláš,matričný úrad
00315559,Lisková,matričný úrad
00320102,Litava,matričný úrad
00314625,Lokca,matričný úrad
00313556,Lom nad Rimavicou,matričný úrad
00316172,Lovinobaňa,matričný úrad
00304905,Lozorno,matričný úrad
00309052,Ľubá,matričný úrad
00315567,Ľubeľa,matričný úrad
00328472,Lubeník,matričný úrad
00313564,Ľubietová,matričný úrad
00311731,Lubina,matričný úrad
00315575,Ľubochňa,matričný úrad
00330035,Ľubotín,matričný úrad
00316181,Lučenec,matričný úrad
00315583,Lúčky,matričný úrad
00310689,Ludanice,matričný úrad
00311758,Lúka,matričný úrad
00317489,Lúka,matričný úrad
00321451,Lúka,matričný úrad
34003517,Lúka,matričný úrad
00317471,Lúka,matričný úrad
00312738,Lúka,matričný úrad
00312746,Lúka,matričný úrad
00314129,Lúka,matričný úrad
00324426,Lúka,matričný úrad
00304913,Lúka,matričný úrad
00322369,Lúka,matričný úrad
00325465,Lúka,matričný úrad
00309711,Lúka,matričný úrad
00316211,Lúka,matričný úrad
00304921,Lúka,matričný úrad
00316784,Lúka,matričný úrad
00309061,Lúka,matričný úrad
00306550,Lúka,matričný úrad
00329347,Lúka,matričný úrad
00322377,Lúka,matričný úrad
00304930,Lúka,matričný úrad
00329355,Lúka,matričný úrad
00316792,Lúka,matričný úrad
00306568,Lúka,matričný úrad
00324442,Lúka,matričný úrad
00323233,Lúka,matričný úrad
00311766,Lúka,matričný úrad
00305600,Lúka,matričný úrad
00309095,Lúka,matričný úrad
00331759,Lúka,matričný úrad
00325490,Lúka,matričný úrad
00329380,Lúka,matričný úrad
00330060,Lúka,matričný úrad
00306576,Lúka,matričný úrad
00308439,Lúka,matričný úrad
00304956,Lúka,matričný úrad
00306584,Lúka,matričný úrad
00311782,Lúka,matričný úrad
00319457,Lúka,matričný úrad
00308269,Lúka,matričný úrad
00317543,Lúka,matričný úrad
00309117,Lúka,matričný úrad
00324451,Lúka,matričný úrad
00312789,Lúka,matričný úrad
00311791,Lúka,matričný úrad
00309737,Lúka,matričný úrad
00304964,Lúka,matričný úrad
00306096,Lúka,matričný úrad
00316806,Lúka,matričný úrad
00311804,Lúka,matričný úrad
00308358,Muráň,matričný úrad
00320153,Očová,matričný úrad
00305634,Očová,matričný úrad
00323322,Očová,matričný úrad
00314153,Očová,matričný úrad
00305642,Očová,matričný úrad
00306622,Očová,matričný úrad
00330868,Očová,matričný úrad
00314161,Očová,matričný úrad
00323331,Očová,matričný úrad
00314722,Očová,matričný úrad
00314749,Očová,matričný úrad
00650498,Očová,matričný úrad
00314731,Očová,matričný úrad
00330108,Očová,matričný úrad
00318396,Očová,matričný úrad
00312827,Očová,matričný úrad
00314170,Očová,matričný úrad
00318965,Očová,matričný úrad
00305685,Očová,matričný úrad
00309176,Očová,matričný úrad
00325571,Očová,matričný úrad
00323381,Očová,matričný úrad
00317594,Očová,matričný úrad
00331813,Očová,matričný úrad
00314781,Očová,matričný úrad
00315656,Očová,matričný úrad
00310905,Očová,matričný úrad
00312851,Očová,matričný úrad
00306126,Očová,matričný úrad
00325589,Očová,matričný úrad
00323403,Očová,matričný úrad
00327590,Očová,matričný úrad
00305014,Očová,matričný úrad
00309770,Očová,matričný úrad
00327603,Očová,matričný úrad
00321541,Očová,matričný úrad
00305022,Očová,matričný úrad
00612031,Očová,matričný úrad
00307360,Očová,matričný úrad
00307378,Očová,matričný úrad
00309788,Očová,matričný úrad
00309796,Očová,matričný úrad
00309800,Očová,matričný úrad
00305049,Očová,matričný úrad
00330124,Očová,matričný úrad
00328642,Očová,matričný úrad
00317608,Očová,matričný úrad
00320170,Očová,matričný úrad
00311910,Očová,matričný úrad
00313688,Očová,matričný úrad
00309192,Podhájska,matričný úrad
00325635,Podhájska,matričný úrad
00316831,Podhájska,matričný úrad
00316318,Podhájska,matričný úrad
00310930,Podhájska,matričný úrad
00311928,Podhájska,matričný úrad
00330132,Podhájska,matričný úrad
00313696,Podhájska,matričný úrad
00308382,Podhájska,matričný úrad
00313700,Podhájska,matričný úrad
00307394,Podhájska,matričný úrad
00313726,Podhájska,matričný úrad
00316342,Podhájska,matričný úrad
00313734,Podhájska,matričný úrad
00326470,Podhájska,matričný úrad
00324639,Podhájska,matričný úrad
00309834,Podhájska,matričný úrad
00325660,Podhájska,matričný úrad
00311944,Podhájska,matričný úrad
00317667,Podhájska,matričný úrad
00309206,Podhájska,matričný úrad
00319511,Podhájska,matričný úrad
00329517,Podhájska,matričný úrad
00310964,Podhájska,matričný úrad
00317691,Podhájska,matričný úrad
00313751,Podhájska,matričný úrad
00321567,Podhájska,matričný úrad
00320943,Podhájska,matričný úrad
00310999,Podhájska,matričný úrad
00327646,Podhájska,matričný úrad
00306649,Podhájska,matričný úrad
00316849,Podhájska,matričný úrad
00315711,Podhájska,matričný úrad
00309869,Podhájska,matričný úrad
00309885,Podhájska,matričný úrad
00318442,Podhájska,matričný úrad
00317721,Podhájska,matričný úrad
00317730,Podhájska,matričný úrad
00317748,Podhájska,matričný úrad
00307416,Podhájska,matričný úrad
00306134,Podhájska,matričný úrad
00314838,Podhájska,matričný úrad
00314846,Podhájska,matričný úrad
00311014,Podhájska,matričný úrad
00309907,Podhájska,matričný úrad
00306657,Podhájska,matričný úrad
00323454,Podhájska,matričný úrad
00316369,Podhájska,matričný úrad
00311022,Podhájska,matričný úrad
00321575,Podhájska,matričný úrad
00321583,Rajecká Lesná,matričný úrad
00321591,Rajecká Lesná,matričný úrad
00314234,Rajecká Lesná,matričný úrad
00316377,Rajecká Lesná,matričný úrad
00322521,Rajecká Lesná,matričný úrad
00318990,Rajecká Lesná,matričný úrad
00306142,Rajecká Lesná,matričný úrad
00325716,Rajecká Lesná,matričný úrad
00328693,Rajecká Lesná,matričný úrad
00319015,Rajecká Lesná,matričný úrad
00319023,Rajecká Lesná,matričný úrad
00319031,Rajecká Lesná,matričný úrad
00308404,Rajecká Lesná,matričný úrad
00305715,Rajecká Lesná,matričný úrad
00309923,Rajecká Lesná,matričný úrad
00324655,Rajecká Lesná,matričný úrad
00328758,Rajecká Lesná,matričný úrad
00309231,Rajecká Lesná,matričný úrad
00314251,Rajecká Lesná,matričný úrad
00329533,Rajecká Lesná,matričný úrad
00332780,Rajecká Lesná,matričný úrad
00324671,Rajecká Lesná,matričný úrad
00312941,Rajecká Lesná,matričný úrad
00315737,Rajecká Lesná,matričný úrad
00311049,Rajecká Lesná,matričný úrad
00307424,Rajecká Lesná,matričný úrad
00320196,Rajecká Lesná,matričný úrad
00327735,Rajecká Lesná,matričný úrad
00309249,Rajecká Lesná,matričný úrad
00307432,Rajecká Lesná,matričný úrad
00305693,Rajecká Lesná,matričný úrad
00320218,Rajecká Lesná,matričný úrad
00320226,Rajecká Lesná,matričný úrad
00331899,Rajecká Lesná,matričný úrad
00332828,Rajecká Lesná,matričný úrad
00327743,Rajecká Lesná,matričný úrad
00313807,Rajecká Lesná,matričný úrad
00306151,Rajecká Lesná,matričný úrad
00309257,Rajecká Lesná,matričný úrad
00324698,Rajecká Lesná,matričný úrad
00305065,Rajecká Lesná,matričný úrad
00309974,Rajecká Lesná,matričný úrad
00319546,Rajecká Lesná,matričný úrad
00320234,Rajecká Lesná,matričný úrad
00306169,Rajecká Lesná,matričný úrad
00309265,Rajecká Lesná,matričný úrad
00328812,Rajecká Lesná,matričný úrad
00311057,Rajecká Lesná,matričný úrad
00309982,Rajecká Lesná,matričný úrad
00314285,Rajecká Lesná,matričný úrad
00319554,Sklabiná,matričný úrad
00316881,Sklabiná,matričný úrad
00316890,Sklabiná,matričný úrad
00308421,Sklabiná,matričný úrad
00306177,Sklabiná,matričný úrad
00324728,Sklabiná,matričný úrad
00311073,Sklabiná,matričný úrad
00328847,Sklabiná,matričný úrad
00308447,Sklabiná,matričný úrad
00320277,Sklabiná,matričný úrad
00332852,Sklabiná,matričný úrad
00313823,Sklabiná,matričný úrad
00326500,Sklabiná,matričný úrad
00319562,Sklabiná,matričný úrad
00316911,Sklabiná,matričný úrad
00305073,Sklabiná,matričný úrad
00312983,Sklabiná,matričný úrad
00329576,Sklabiná,matričný úrad
00323560,Sklabiná,matričný úrad
00311987,Sklabiná,matričný úrad
00310018,Sklabiná,matričný úrad
00325791,Sklabiná,matričný úrad
00306665,Sklabiná,matričný úrad
00332861,Sklabiná,matričný úrad
00311081,Sklabiná,matričný úrad
00310026,Sklabiná,matričný úrad
00331945,Sklabiná,matričný úrad
00326518,Sklabiná,matričný úrad
00329614,Sklabiná,matričný úrad
00326526,Sklabiná,matričný úrad
00326542,Sklabiná,matričný úrad
00326551,Sklabiná,matričný úrad
00329622,Sklabiná,matričný úrad
00329657,Sklabiná,matričný úrad
00329606,Sklabiná,matričný úrad
00329631,Sklabiná,matričný úrad
00323578,Sklabiná,matričný úrad
00315761,Sklabiná,matričný úrad
00314307,Sklabiná,matričný úrad
00320285,Sklabiná,matričný úrad
00330167,Sklabiná,matričný úrad
00312002,Sklabiná,matričný úrad
00313831,Sklabiná,matričný úrad
00307483,Sklabiná,matričný úrad
00314293,Sklabiná,matričný úrad
00325813,Sklabiná,matričný úrad
00321648,Sklabiná,matričný úrad
00331970,Sklabiná,matričný úrad
00309273,Sklabiná,matričný úrad
00331007,Sklabiná,matričný úrad
00310042,Studienka,matričný úrad
00305081,Studienka,matričný úrad
00316938,Studienka,matričný úrad
00314871,Studienka,matričný úrad
00313009,Studienka,matričný úrad
00305090,Studienka,matričný úrad
00321656,Studienka,matričný úrad
00320471,Studienka,matričný úrad
00304832,Studienka,matričný úrad
00315508,Studienka,matričný úrad
00306436,Studienka,matričný úrad
00331023,Studienka,matričný úrad
00327760,Studienka,matričný úrad
00312011,Studienka,matričný úrad
00326607,Studienka,matričný úrad
00309281,Studienka,matričný úrad
00314323,Studienka,matričný úrad
00307513,Studienka,matričný úrad
00310051,Studienka,matričný úrad
00306185,Studienka,matričný úrad
00307505,Studienka,matričný úrad
00305723,Studienka,matričný úrad
00327786,Studienka,matričný úrad
00327794,Studienka,matričný úrad
00327808,Studienka,matričný úrad
00307521,Studienka,matričný úrad
00310069,Studienka,matričný úrad
00305103,Studienka,matričný úrad
00316423,Studienka,matričný úrad
00306193,Studienka,matričný úrad
00327832,Studienka,matričný úrad
00311138,Studienka,matričný úrad
00306207,Studienka,matričný úrad
00313033,Studienka,matričný úrad
00310077,Studienka,matričný úrad
00321028,Studienka,matričný úrad
00321672,Studienka,matričný úrad
00328871,Studienka,matričný úrad
00326615,Studienka,matričný úrad
00309303,Studienka,matričný úrad
00305731,Studienka,matričný úrad
00313866,Studienka,matričný úrad
00326437,Studienka,matričný úrad
00309311,Studienka,matričný úrad
00313068,Studienka,matričný úrad
00329681,Studienka,matričný úrad
00315788,Studienka,matričný úrad
00307548,Studienka,matričný úrad
00313874,Studienka,matričný úrad
00319147,Studienka,matričný úrad
00321699,Terchová,matričný úrad
00327867,Terchová,matričný úrad
00308528,Terchová,matričný úrad
00306215,Terchová,matričný úrad
00319155,Terchová,matričný úrad
00307581,Terchová,matričný úrad
00306223,Terchová,matričný úrad
00305120,Terchová,matričný úrad
00316474,Terchová,matričný úrad
00311162,Terchová,matričný úrad
00308536,Terchová,matričný úrad
00306231,Terchová,matričný úrad
00305740,Terchová,matričný úrad
00323659,Terchová,matričný úrad
00319091,Terchová,matričný úrad
00332887,Terchová,matričný úrad
00306690,Terchová,matričný úrad
00313092,Terchová,matričný úrad
00309320,Terchová,matričný úrad
00306681,Terchová,matričný úrad
00331996,Terchová,matričný úrad
00312045,Terchová,matričný úrad
00312053,Terchová,matričný úrad
00312070,Terchová,matričný úrad
00312100,Terchová,matričný úrad
00312088,Terchová,matričný úrad
00312037,Terchová,matričný úrad
00305766,Terchová,matričný úrad
00325899,Terchová,matričný úrad
00313114,Terchová,matričný úrad
00321052,Terchová,matričný úrad
00305774,Terchová,matričný úrad
00306240,Terchová,matričný úrad
00314897,Terchová,matričný úrad
00305782,Terchová,matričný úrad
00306258,Terchová,matričný úrad
00313122,Terchová,matričný úrad
00327905,Terchová,matričný úrad
00316962,Terchová,matričný úrad
00331104,Terchová,matričný úrad
00317012,Terchová,matričný úrad
00316997,Terchová,matričný úrad
00316679,Terchová,matričný úrad
00317004,Terchová,matričný úrad
00691313,Terchová,matričný úrad
00314331,Terchová,matričný úrad
00314901,Terchová,matričný úrad
00309338,Terchová,matričný úrad
00323675,Terchová,matričný úrad
00325937,Terchová,matričný úrad
00323683,Udavské,matričný úrad
00317853,Udavské,matričný úrad
00316504,Udavské,matričný úrad
00311201,Udavské,matričný úrad
00800236,Udavské,matričný úrad
00323691,Udavské,matričný úrad
00310107,Udavské,matričný úrad
00306266,Udavské,matričný úrad
00324850,Udavské,matričný úrad
00313904,Udavské,matričný úrad
00318531,Udavské,matričný úrad
00317021,Udavské,matričný úrad
00321711,Udavské,matričný úrad
00315842,Udavské,matričný úrad
00319171,Udavské,matričný úrad
00314960,Udavské,matričný úrad
00319619,Udavské,matričný úrad
00324868,Udavské,matričný úrad
